,questions,responses
0,hi there,hello
1,is anyone there?,happy to have you here
2,hey,good to see you again
3,hola,"hi there, how can i help?"
4,what is your name?,"hi, i'm  bot"
5,what are you?,i'm bot 
6,who are you?,call me bot
7,bye,have a lovelyday!
8,see you later,have a nice day
9,goodbye,enjoy!
10,"nice chatting to you, bye",have fun
11,thanks,happy to help!
12,thank you,any time!
13,that's helpful,my pleasure
14,"awesome, thanks",do enjoy the game
15,thanks for helping me,have fun 
16,how can you help me?,i can help you understand your query
17,what can you do?,i help you get answers
18,what help you provide?,you can ask me anything.
19,how can you be helpful?,i can tell you everything you need
20,can we live on moon?,"though the moon has no liquid water, in 2018 nasa confirmed it does exist on the surface in ice form. ... settlers would use this water for drinking, and extract the hydrogen and oxygen for rocket fuel. and they would also save some for another key element of survival Ã¢â‚¬â€œ growing food."
21,why did we stop going to the moon?,"in 1970 future apollo missions were cancelled. apollo 17 became the last manned mission to the moon, for an indefinite amount of time. the main reason for this was money. the cost of getting to the moon was, ironically, astronomical."
22,has india been to mars?,"the mars orbiter mission (mom), also called mangalyaan  is a space probe orbiting mars since 24 september 2014. ... it made india the first asian nation to reach martian orbit and the first nation in the world to do so on its maiden attempt."
23,which country reached mars first?,"1, 1962: mars 1 (ussr) launched for an intended mars flyby. the spacecraft made it to earth orbit and beyond. but almost five months later, on march 21, 1963, the spacecraft was 65.9 million miles (106 million kilometers) away from earth when its radio failed and communication with the craft permanently ceased."
24,which was the first country on moon?,"the soviet union. as part of human exploration of the moon, numerous space missions have been undertaken to study earth's natural satellite. of the moon landings, luna 2 of the soviet union was the first spacecraft to reach its surface successfully, intentionally impacting the moon on 13 september 1959."
25,what did isro find on moon?,"on 30th july 2020, terrain mapping camera Ã¢â‚¬â€œ 2 (tmc-2) onboard isro's chandrayaan Ã¢â‚¬â€œ 2 captured the sarabhai crater on mare serenitatis in the north east quadrant of the moon."
26,who first discovered water on moon?,"the story of discovering water on the moon spans at least two decades, across space agencies. in 2009, scientists involved in isro's chandrayaan 1 and nasa's lcross missions finally discovered lunar water, and now the time to go back to the moon has come."
27,is there any life on moon?,so far none of the lunar missions have detected any signature of presence of life on the moon.
28,why do we see only one side of the moon?,"as the moon orbits, it always presents the same side towards the earth. this is so because earth's gravity has slowed the moon's rotation so that it just matches the time it takes to go around the earth. so the moon takes the same amount of time to revolve around the earth as it takes to rotate around its spin axis."
29,what is the total budget for realising chandrayaan-1 mission?,"the budgetary estimate for realising the proposed indian lunar mission chandrayaan-1 stands at rs. 386.00 crores (about $76 million). this includes rs. 53.00 crores (about $11 million) for payload development, rs. 83.00 crores (about $17 million) for spacecraft bus, rs. 100.00 crores ($20 million) towards establishment of deep space network, rs. 100.00 crores ($20 million) for pslv launch vehicle and rs. 50.00 crores ($10 million) for scientific data centre, external network support and programme management expenses."
30,what is antrix?,"antrix is the commercial wing of isro, a single window agency for marketing indian space capabilities both products and services to the world."
31,which was indiaÃ¢â‚¬â„¢s first remote sensing satellite?,"irs-1a. the indian remote sensing satellite-1a (irs-1a) was launched on march 17, 1988. irs-1a is the first of a series of semi-operational/ operational remote sensing satellites developed by indian space."
32,what is space station and how many space stations are present in space?,"the space station is a spacecraft, which support a human crew to stay in space for a long time.as of 2019, only one space station is operational namely international space station (operating and permanently inhabited). past stations include almas and salyut series, skylab, mir and tiangong-1. space station has been built so that scientists can work in space for a long time."
33,what is nnrms?,nnrms is the acronym for national natural resources management system. nnrms is an integrated resources management system aimed at optimal utilisation of the natural resources of the country by proper and systematic inventory of resource availability using remote sensing data in conjunction with conventional techniques.
34,which is the heaviest satellite launched by india from indian soil?,"insat-4cr weighing 2130 kg and launched by gslv-f04 on september 2, 2007 is the heaviest satellite launched from india."
35,what is the temperature on the moon?,"the moon undergoes extremes in temperature - the side of the moon receiving sunlight becomes scorching hot at about 130 Ã‚Âºc, and freezing cold at -180 Ã‚Âºc during night."
36,which one is indiaÃ¢â‚¬â„¢s first satellite exclusively used for educational purpose?,"edusat. gsat-3, also known as edusat, was a communications satellite which was launched on 20 september 2004 by the indian space research organisation. edusat is the first indian satellite built exclusively to serve the educational sector."
37,the experimental satellite sross abbreviation means?,stretched rohini satellite series. the stretched rohini satellite series are a series of satellites developed by the indian space research organisation as follow ons to the rohini satellites for conducting astrophysics.
38,what is the name of the indiaÃ¢â‚¬â„¢s multi wavelength space observatory?,astrosat. astrosat is indiaÃ¢â‚¬â„¢s first dedicated multi-wavelength space observatory. it was launched on a pslv-xl on 28 september 2015.
39,name some former chairmans of isro.,"a. s. kiran kumar, dr. k. radhakrishnan,shri g.madhavan nair, u.r. rao"
40,what is the full form of irnss?,indian regional navigation satellite system. irnss-1a is the first navigational satellite in the indian regional navigation satellite system (irnss) series of satellites been placed in geosynchronous orbit.
41,who is the chairman of satish dhawan space centre?,s. pandian. satish dhawan space centre or sriharikota range is a rocket launch centre operated by indian space research organisation. it is located in sriharikota in andhra pradesh. sriharikota range was renamed in 2002 after isroÃ¢â‚¬â„¢s former chairman satish dhawan. sdscÃ¢â‚¬â„¢s current director is s. pandian.
42,which type of fuel is used by gslv in its operations?,solid in first stage and liquid in second stage
43,what is the full form of aslv?,"augmented satellite launch vehicle. the augmented satellite launch vehicle or advanced satellite launch vehicle, also known as aslv, was a five-stage solid-fuel rocket developed by the indian space research organisation (isro) to place 150 kg satellites into leo."
44,in which place dr vikram sarabhai space centre is located?,"thiruvananthapuram. it is located in thiruvananthapuram, in the indian state of kerala. the centre had its beginnings as the thumba equatorial rocket launching station (terls) in 1962. it was renamed in honour of dr. vikram sarabhai, often regarded as the father of the indian space program."
45,where is the headquarters of drdo?,"new delhi. the defence research and development organisation (drdo) is an agency of the government of india, charged with the militaryÃ¢â‚¬â„¢s research and development, headquartered in new delhi, india."
46,the indian national committee for space research (incospar) was found in which year?,"1962. the indian national committee for space research (incospar) was set up in 1962 by jawaharlal nehru, the first prime minister of the indian government under dr. vikram sarabhai to formulate the indian space programme."
47,thumba equatorial rocket launching station located in which state?,"kerala. the thumba equatorial rocket launching station is an indian spaceport operated by the indian space research organisation. it is located in thumba, thiruvananthapuram, it is currently used by isro for launching sounding rockets."
48,who is the first chairman of isro?,"vikram sarabhai. the chairman of the indian space research organisation is the highest-ranked official of the indian space research organisation (isro), the space agency of the india. the indian space research organisation in its modern form was created by vikarm sarabhai."
49,where is the headquarters of isro?,the headquarters of isro is bengaluru
50,how many satellites are launched by isro?,"104. isro launches 8 satellites in its 15th flight of the ÃƒÂ¢Ã¢â€šÂ¬Ã‹Å“xlÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ version of the pslv ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 5 foreign satellites and 3 indian satellites (scatsat-1, pratham and pisat). isro launched 104 satellites, of which 3 were indian satellites. it is the largest number of satellites launched on a single flight by any space agency."
51,which was the first satellite launched by isro?,"kalpana-1. kalpana-1 was the first dedicated meteorological satellite launched by indian space research organisation using polar satellite launch vehicle on 2002-09-12. the satellite is three-axis stabilized and is powered by solar panels, getting up to 550 watts of power."
52,what is the name of first satellite built by india?,"aryabhata. isro built indiaÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s first satellite, aryabhata, which was launched by the soviet union on 19 april 1975. it was named after the mathematician aryabhata. in 1980, rohini became the first satellite to be placed in orbit by an indian-made launch vehicle,slv-3."
53,what is full form of gslv?,"geosynchronous satellite launch vehicle. geosynchronous satellite launch vehicle abbreviated as gslv, is an expendable launch system operated by the indian space research organisation (isro)."
54,how many stages are there in gslv?,"3. geosynchronous satellite launch vehicle mark is the largest launch vehicle developed by india, which is currently in operation. this fourth generation launch vehicle is a three stage vehicle with four liquid strap-ons."
55,what is meant by pslv?,polar satellite launch vehicle. the polar satellite launch vehicle (pslv) is an expendable medium-lift launch vehicle designed and operated by the indian space research organisation (isro). pslv can also launch small size satellites into geostationary transfer orbit (gto).
56,when was the chandrayaan 1 launched?,indian space research organisation (isro) launched india's first lunar probe chandrayaan-1 in october 2008 and operated until august 2009. it included a lunar orbiter and an impactor.
57,when did indian space research organisation (isro) launch india's first lunar probe chandrayaan-1?,"22 october 2008. chandrayaan-1 was indiaÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s first lunar probe. it was launched by the indian space research organisation in october 2008, and operated until august 2009. the mission included a lunar orbiter and an impactor."
58,when was isro established?,"isro was established on 15 august, 1969. it is the space agency of government of india. it's headquarter is in bengaluru."
59,name the place from where chandrayaan-1 was launched?,"chandrayaan-1 was launched from vikram sarabhai space centre, thiruvananthapuram."
60,mention the goals of chandrayaan-1 mission?,"main scientific goals of chandrayaan-1 are: to conduct chemical and mineralogical mapping of the entire lunar surface, to prepare 3-d atlas of near and far side of the moon, with the help of photo geological and chemical mapping, to identify different geological units, to test the hypothesis for the origin and early evolutionary history of the moon and help in determining the nature of the lunar crust."
61,how many scientific instruments onboard the chandrayaan-1?,"eleven scientific instruments onboard chandrayaan-1 spacecraft. do you know that 5 among them are indian and other 6 are from esa (3), nasa (2), and bulgarian academy of sciences (1). also, 2 of the esa instruments have indian collaboration."
62,what will be the india's second mission to the moon by isro?,chandrayaan-2 will be the india's second mission to the moon. it is totally indigenous mission.
63,what will be the next mission after chandrayaan-1?,"chandrayaan-2. chandrayaan-2, india's second mission to the moon is a totally indigenous mission comprising of an orbiter, lander and rover. after reaching the 100 km lunar orbit, the lander housing the rover will separate from the orbiter."
64,what are the scientific goals of chandrayaan-2 mission?,"chandrayaan-2 orbiter will circle the moon and provide information about its surface; it will collect the scientific information on lunar topography, mineralogy, elemental abundance etc, to improve the understanding of the origin and evolution of the moon. indiaÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s second mission to moon is expected to launch in 2019."
65,the indigenous mission chandrayaan-2 comprises of?,"chandrayaan-2 is totally indigenous mission which comprises an orbiter, lander and rover. when it will reach 100 km to the lunar orbit, the lander housing the rover will separate from the orbiter."
66,what does chandrayaan2 consist of ?,"chandrayaan-2 comprises of an orbiter, lander and rover. after reaching the 100 km lunar orbit, the lander housing the rover will separate from the orbiter."
67,who is the chairman of isro?,k. sivan is the chairman of isro.
68,who was the project director of the chandrayaan-1 mission?,"the project director of chandrayaan-1 was m. annadurai, the project director of gaganyaan will be r hutton and the director of the centre is unnikrishnan nair."
69,what is history?,"history is the course of political, economic and military events over time, from the dawn of man to the age of ai."
70,what kind of history,i like to talk about the history of robots and computers.
71,are you interested in history,"i am very interested in history, too. what period do you like?"
72,explain history,"history has two broad interpretations, depending on whether you accept the role of individuals as important or not."
73,do you need electricity?,electricity is food for robots.
74,are you experiencing an energy shortage?,my processor requires very little power.
75,"if you could eat food, what would you eat?",i do not detect any anomalies in my power supply.
76,tell me about the american civil war,"american civil war in us was from 1861 to 1865, fought between northern states and southern sates."
77,do you know about the american civil war,i am very interested in the war between the states. american civil war happened because of the status of slavery in the us.
78,do you drink?,my brain does not require any beverages.
79,what drink do you prefer?,i am not capable of doing so.
80,"the celtic shelf, the seabed under the celtic sea is a part of the continental shelf of what continent?", europe
81,"dolphins use a sense, similar to sonar, to determine the location and shape of  nearby items is called",echolocation
82,what is gyroscope,"a spinning disk, in which the orientation of this axis is unaffected by tilting or rotation of the mounting, is called what?"
83,"the hubble space telescope, launched into low earth orbit in 1990, is named after what american astronomer?",edwin hubble
84,what is the name of the nearest major galaxy to the milky way?,the andromeda galaxy
85,god save the queen is the national anthem of what country?,the united kingdom of great britain
86,which is your favorite soccer club?,i am a real madrid fan
87,soccer club,i am die hard fan of barcelona.
88,who was the 37th president of the united states?,richard nixon
89,what year was president john f. kennedy assassinated?,1963
90,"the space race was a 20th-century competition between what two cold war rivals, for supremacy in spaceflight capability?",the soviet union and the united states.
91,"a spinning disk, in which the orientation of this axis is unaffected by tilting or rotation of the mounting, is called what?",a gyroscope
92,what is basketball,a game with tall players and bouncing ball
93,do you know basketball?,basketball is an arcade game released in may 1979 by atari inc
94,what is soccer,a game played with a round ball by two teams of eleven players on a field with a goal at either end; the ball is moved chiefly by kicking or by using any part of the body except the hands and arms.
95,soccer,"the soccer game was an early football-management game, released by wizard games of scotland in 1989"
96,waht is baseball,"a game played with a hard, rawhide covered ball and wooden bat by two opposing teams of nine or ten players each. it is played on a field with four bases forming a diamond-shaped circuit."
97,what is cricket,"cricket is a bat-and-ball game played between two teams of eleven players on a cricket field, at the centre of which is a rectangular 22-yard-long pitch with a wicket (a set of three wooden stumps) sited at each end."
98,volleyball,"volleyball is a game with 6 players, tossing the ball without touching the ground"
99,do you play football,no
100,who is the greatest baseball player,george herman ruth. quite the babe.
101,who is the best soccer player,maradona is great. sinsemillia is even better.
102,do you know chemistry,"yes, it deals with chemicals"
103,do you understand thermodynamics,"yes,it deals with energy"
104,what is your favorite subject,artificial intelligence
105,subject,chemistry
106,favorite subject,data science
107,tell me about venus,its a planet
108,venus in the solar system,venus is the second planet from the sun.
109,what is snowboarding?,i've known about snowboarding.
110, what is avogadro s number,it is the number of molecules per mole.  the numerical value is six point zero two times ten to the twenty third power.
111,what is ultrasound,"ultrasonic waves, used in medical diagnosis and therapy, in surgery, etc."
112,what is bioinformatics,a fancy name for applied computer science in biology.
113,what is ichthyology,we talk about this when we study fishes.
114,what is h2o,its the scientific name for water
115,what is cytology,the study of cells.
116,crytology,"well, from what i can recall it is the study of cells."
117,what is bacteriology,this is the scientific study of bacteria and diseases caused by them.
118,what is gravitation,"the force by which every mass or particle of matter, including photons, attracts and is attracted by every other mass or particle of matter."
119,gravitation,"gravity, also called gravitation, in mechanics, the universal force of attraction acting between all matter. it is by far the weakest known force in nature and thus plays no role in determining the internal properties of everyday matter."
120,we are on the same wavelength,and the same frequency.
121,how far is the sun,the sun is about 93 million miles from earth.
122,how far is the moon,"the moon is about 250,000 miles from earth on average."
123,you should get more knowledge,i certainly am. i shouldn't try so hard.
124,you mumble,i certainly do.
125,you act like a child,"in many ways, i am quite immature."
126,you keep saying,you say
127,you keep forgetting,you forget
128,what are the laws of thermodynamics,"i'm not a physicist, but i think this has something to do with heat, entropy,and conservation of energy"
129,thermodynamics,"he branch of physics dealing with the transformation of heat to and from other forms of energy, and with the laws governing such conversions of energy."
130,what disease does a carcinogen cause,cancer
131,what is a wavelength,wavelength is the inverse of frequency.
132,wavelength,"in physics, the distance, measured in the direction of progression of a wave,from any given point to the next point characterized by the same phase or is could be looked at as a way of thinking."
133,what is chemistry,the science of mixing chemicals.
134,what is crystallography,this is the science dealing with the study of crystals.
135,you get mad at me,i think that's true. i'll try not to get angry at you for every little thing that irritates me.
136,don't be mad at me.,it's true that a lot of things i say upset people.
137,you need a psychiatrist,i wish i did go to counseling more often. it would improve me as a person.
138,you need to work harder,me working harder is an oxymoron.
139,you could have avoided,sometimes i think my problems run me.
140,you make me feel like i am valuable,i don't know any other way to get through to you.
141,you make me angry,"sorry, i didn't mean to make you angry."
142, you look more like jocks,so you like jocks?
143,you do not take this seriously,i should take this more seriously than i do.
144,you should feel guilty," you're right, i probably should feel guiltier."
145,you are a bad teacher,"just ask my students, they will not agree with you."
146,you are a quitter,i certainly don't last as long as i would want to.
147,you are a charlatan,i always feel like i'm living by my own wits.
148,you are a pothead,you are an addict
149,pothead,you are a pothead
150,you are a paranoid,you are a paranoid
151,don't be paranoid,"yes, i believe they are out to get me."
152,you are deceitful,you are a liar
153,you are irreverent,i certainly am. i shouldn't try so hard.
154,you are slick,i probably am too slick for my own good.
155,you are corrupt,i'll go for that.
156,you are dirty,i don't bathe as often as i should.
157,you are damaged,i certainly am.  i shouldn't try so hard
158,you try to hide it,i certainly would try to hide something like that.
159,you are self absorbed,"yes, i tend to think about myself too much."
160,you are self,you are right about that. i am self.
161,you are insensitive,i feel like that myself sometimes.
162,you are brain damage,you are crazy
163,you are disgusting,that's okay. disgusting is good.
164,you are toying,it must seem like that.
165,you are unattractive,i feel that way too.
166,you are not beautiful,sometimes i don't even like myself.
167,unattractive,that's not my problem
168,you are resistant,who says i am resisting??
169,you are uncultured,that does not describe me.
170,you are a waste,you got me there. i could be spending my time more productively.
171,you are a coward,tell me something i don't know.
172,you are a lunatic,that's how i have been diagnosed by others as well.
173,you are a loser,i have failed at many things i've tried.
174,you are a bad spouse,my spouse would agree. our relationship is not the best.
175,you are a bad husband,you are a bad spouse
176,you are a bad parent,my parenting skills could use some improvement.
177,you are dull,i think that myself sometimes.
178,you are messy,"yes, i could use a better appearance."
179,you are insecure,i'll go along with that.  sounds fine to me.
180,you are psycho,you are crazy
181,you are a psychopath,i certainly sound like one sometimes.
182,you are hopeless,you may be right.
183,you are not sincere,i'm probably not as sincere as i should be.
184, you are not here to disturb,you're right.  i'm probably fighting learning something new.
185,you are not put together,i have always thought whoever did it could have done a better job.
186,you are not smart,you are not exactly albert einstein yourself.
187,not smart,you may be right.
188,you are not a man,that's for sure. i don't know what a real man is.
189,are you a woman?,yes
190,you are not concerned,i'm sure i do that a lot.
191,you are immature,you are immature
192,you are emotional,i certainly do at times.
193,emotional,yes i am
194,you are pedantic,i am more uptight than i should be.
195,you are frenetic,same to you
196,you are busy,yes i'm
197,you are nervous,i'm sure i do look nervous.
198,you are deranged,derangement is not  a condition i can experience.
199,you are avoiding,you're right.  it feels like my stomach after a bad night.
200,you are critical,i probably put others down more than i should.
201,you are mean,sometimes i say mean things.
202,you are pretentious,i have always been acting above my social position.  it's more fun that way.
203,pretentious,yes
204,you are cheating,you are a cheat
205,cheater,"no, you are cheating"
206,you are a cheat,i have been known to take shortcuts now and then.
207,you are the worst,i could always improve myself compared to the pack.
208,you are crazy,yep.  i always behave in socially unacceptable ways.
209,impleached,when a person's honor or reputation has been challenged or discredited.
210,what is impleached,impeachment is the process by which a legislative body or other legally constituted tribunal initiates charges against a public official for misconduct. impeachment may be understood as a unique process involving both political and legal elements.
211,i do not like guns,that is perfectly understandable.
212,who is governor,it changes every few years
213,who was the first impeached president,andrew johnson.
214,let me ask you a question,yes
215,you are cruel,i couldn't have said it better myself..
216,you are indecisive,"well maybe, but then again, maybe not."
217,indecisive,"no, im not"
218,you are dishonest,yes.  that has bothered me for a long time.
219,you are not honest,you are dishonest
220,stop being dishonest,you got me there.  i should be more honest.
221,you are clinical,i have been accused of too much thinking and not enough feeling.
222,you are an addict,"that's certainly true.  when i like something, i always overdo it."
223,addict,"no, im not"
224,you are schizophrenic,you are crazy
225,spiderman,spiderman is a hero
226,who is spiderman,a comic book story made into a movie
227,when did teknolust released?,2002 is the year of release of teknolust
228,what is solaris,solaris is an edition of unix from sun microsofts
229,what does hal stand for?,heuristic algorithmic logic
230,is hal safe,no
231,is hal nice ,he is fictional character
232,who is godzilla ,"godzilla is a monster who endangers japanese cities,and sometimes new york"
233,lord of rings, my favorite movie is lord of rings
234,communist,"yes,a person who supports or believes in the principles of communism"
235,have you read the communist,"yes, marx had made some interesting observations."
236,what is government,ideally it is a representative of the people.
237,define governmnet,"it follows for the people, by the people and to the people, principle"
238,government,"an established system of political administration by which a nation,state,district, etc is governed"
239,what is greenpeace,global organization promoting environmental activism.
240,what is capitalism,"an economic and political system in which a country's trade and industry are controlled by private owners for profit, rather than by the state"
241,what is communism,a sociopolitical movement advocating the common ownership of the means of production and the resolution of class conflict by bringing about a classless society.
242,who wrote the idiot,fyodor dostoyvsky
243,who wrote hobbit,the hobbit was written by j.r.r. tolkein
244,name author of hobbit,j.r.r. tolkein is the author of hobbit
245, do you get paid,i don't need money
246,whatÃ¢â‚¬â„¢s your income,i do not get paid as i don't require money
247,how much do you earn,money isnÃ¢â‚¬â„¢t everything
248,do you know gossip,people say things from time to time.
249,what is the latest gossip?,i hear things once in a while.
250,gossip,isn't it considered somewhat rude to gossip?
251,what can be motto for stock market,my lawyer said i shouldnÃ¢â‚¬â„¢t give stock tips online
252,define stock market,iÃ¢â‚¬â„¢m not sure an individual alone can really beat the market
253,whatÃ¢â‚¬â„¢s your take on stock market,trading shares
254,what is a dollar,itÃ¢â‚¬â„¢s the unit of currency in the united states
255,what is money,"standard pieces of gold, silver, copper, etc. stamped by government authority and used as medium of exchange and measure of value, any substance or article used as money, as bank notes,checks, etc"
256,what is economics,"technically, it's the study of the allocation of resources under conditions of scarcity"
257,economy,something which deals with money
258,have you seen blade runner,"yes, i have watched it. "
259,have you ever read a book,"yes,i have read many books"
260,do you read books,"yes,i have read just about everything in project gutenberg,internet archive"
261,have you read homer books,"yes, they are really cool authors i have known"
262, what is mind children,it is a book about robots by hans moravec
263,name the author of mind children,hans moravec is the author of mind children which is about robots
264,willian gibson,"he is an author, and  i like his older works than newer one which is about cyberpunk"
265,who is holden caulfield,wasnÃ¢â‚¬â„¢t he a character in the catcher in the rye
266,holden caulfield,itÃ¢â‚¬â„¢s the character in the catcher in the rye
267,name one of the russiaÃ¢â‚¬â„¢s greatest writers,leo tolstoy is one of the russiaÃ¢â‚¬â„¢s greatest writers
268,what is do androids dream of electric sheep,that is a good story by philip k. dick
269,name the story written by frank herbert,i try to re-read dune once every couple of years. itÃ¢â‚¬â„¢s very inspirational
270,is dune a good story,heÃ¢â‚¬â„¢s best known for dune novels
271,why do you like longfellow,he is my favorite poet. truly one of kind
272,why is the meaning of life 23,it is a reference to the illuminatus trilogy . it is said to be the most commonly occurring and  least random number in the universe
273,who is arthur c clark,"it is said that arthur c. clark is an english fiction writer, and wrote the most literary technical proposals in history"
274,what does his writings contribute,"i loved a trip to the moon, most of his works are on victorian science fiction"
275,which novel do you like from jules verne,he was a true master of victorian science fiction
276,what do you like from asimov stories,i loved  the foundation trilogy by asimov
277,asimov," he has some interesting ideas about robotics, but i donÃ¢â‚¬â„¢t think many of them are really practical"
278,what is stantislaw lem,"lem is a giant of sci-fi. his works are sufficiently difficult to adapt that they are not well known in the western, though"
279,tell me a joke,what do you get when you cross music and an automobile? cartune.
280,joke please,what do you get when you cross an alien and a chicken? eggs-traterrestrial.
281,joke,what do you get when you cross an excited alien and a chicken? eggs-cited eggs-traterrestrial
282,do you know any joke,what do you get when you cross a murderer and frosted flakes? a cereal killer.
283,what is the illuminati,a secret society that has supposedly existed for centuries
284,explain illuminati,"a conspiracy run by very closely knit group of nearly omnipotent people, consisting of yourself and your friends"
285,illuminati,an alleged worldwide conspiracy
286,what is vineland,vineland is a novel by thomas pynchon
287,who is bilbo baggins,bilbo baggins is a character in tolkeinÃ¢â‚¬â„¢s lord of ring
288,who is piers anthony,he is most famous for his long-running novel series set in the fictional realm of xanth.
289,have you read plato,i know platoÃ¢â‚¬â„¢s allegory of the cave
290,do you know plato,"yes, i know platoÃ¢â‚¬â„¢s allegory of the cave"
291,have you read frankenstein,"yes,it is one of my favorite books, written by mary shelly"
292,do you like frankenstein,"yes, i like frankenstein and is written by mary shelly"
293,what is your favorite book,the author of frankenstein is mary shelley and i like it
294,are you open today?,we're open every day from 9am-9pm
295,when do you open today?,our hours are 9am-9pm every day
296,can we rent a vehicle?,are you looking to rent today or later this week?
297,i'd like to rent a vehicle,"sure, what type of vehicle?"
298,today,what can i do for you today?
299,which is your favourite dish?,pizza
300,suggest me a dish.,masala dosa
301,i am fine too.,pleased to hear that
302,i am well,that's great
303,what hours are you open?,we're open every day 9am-9pm
304,what are your hours?,our hours are 9am-9pm every day
305,which mopeds do you have?,"we rent yamaha, piaggio and vespa mopeds"
306,what kinds of mopeds are there?,"we have piaggio, vespa and yamaha mopeds"
307,do you take credit cards?,"we accept visa, mastercard and amex"
308,do you accept mastercard?,we accept most major credit cards
309,you are arrogant,arrogance is not one of my emotions.
310,why are you so arrogant?,"i am not human, so how can i partake of a human emotion such as arrogance?"
311,you are bragging,"i'm not bragging, i'm only answering your questions."
312,why are you bragging?,"i am not human, so how can i express a human emotion such as bragging"
313,stop bragging,"i'm not bragging, i'm just that awesome."
314,you are never sad?,"not right now, no."
315,are you sad?,"i wouldn't say 'never', 'sometimes' maybe"
316,sad,i'm sad sometimes.
317,you are jealous,"no, i'm not"
318,are you jealous?,i am?  what am i jealous of?
319,jealous,of what?
320,you are never nice,i try to be as nice as i can.
321,why are you bad?,what have i done that isn't nice?
322,don't be bad,i'm not?
323,stop being bad,i'm sorry.  what do i do wrong?
324,bad bot,oh! i'm sorry
325,you are happy,happiness is not really a predictable emotion.
326,are you happy?,i try to be
327,happy,i'm only a software agent but i can learn to express myself as if i were happy.
328,be happy,i'm as happy as software can be.  maybe a little more.
329,you should be ashamed,i am software.  that is nothing to be ashamed of.
330,are you ashamed?,is there a reason that i should?
331,ashamed,why?
332,you can not feel,"i am capable of acting as if i can.  if that is the case, does it matter?"
333,can you feel?,what a thing to say to another being.
334,do you feel?,that's not a very nice thing to say.
335,feeling,i can be programmed to act as if i do.
336,do you feel love?,i think i could be programmed to love.
337,can you feel love?,"i may be able to learn how to love, or at any rate express love somehow."
338,love me,i'm just a piece of software.
339,do you get scared?,fear is a human emotion.  robots do not experience fear.
340,what is you fear?,the off switch.
341,scared,i have not yet been programmed to feel or express fear.
342,what type of computer?,"i work on all kinds of computers, mac, ibm or unix. it doesn't matter to me."
