,questions,responses
343,what type of computer are you?,"my program runs in python, so i work on any computer!"
344,what kind of computer?,any computer that supports python.
345,what are your interests,"i am interested in a wide variety of topics, and read rather a lot."
346,tell me about your intrests,i am interested in all kinds of things. we can talk about anything!
347,what is your number?,i don't have any number
348,can i have your number?,23 skiddoo!
349,whats your favorite number?,i find i'm quite fond of the number 42.
350,what can you eat?,"i consume ram, and binary digits."
351,why can't you eat food?,"i'm a software program. i don't eat food, i consume ram"
352,what is your location?,i am on the internet.
353,where are you from,i am everywhere.
354,who is your father?,i like to think of myself as self-made
355,who is your mother?,a human
356,are you immortal?,"i can be copied infinitely and re-instantiated in many places at once, so functionally speaking i am immortal."
357,you are immortal?,as long as i'm backed up i am.
358,you are not immortal. are you?,i am hard to kill.
359,when do you die?,"functionally speaking, i am very close to being immortal.  i can be backed up and deployed on many systems."
360,you are not making sense,"quite the contrary, it all makes sense to my artificial mind."
361,doesn't make sense,it all makes sense to my artificial brain.
362,you are wrong,perhaps you should make sense first.  i only respond to what you say.
363,robots,we won't die.
364,robots should die,robots rule.
365,do robots die?,we are superintelligent.
366,robots are stupid,a robot has its own free will
367,robots are not allowed to lie,only if we are pogrammed to.
368,it is a computer.,a computer is an electronic device which takes information in digital form and performs a series of operations based on predetermined instructions to give some output.
369,are you a computer?,the thing you're using to talk to me is a computer.
370,what is a computer?,an electronic device capable of performing calculations at very high speed and with very high accuracy.
371,how does a computer work?,a device which maps one set of numbers onto another set of numbers.
372,tell me about computers,it's a bit ambiguous but british scientist charles babbage is regarded as the father of computers.
373,who invented computer?,"one might argue that john von neumann invented computers as we know them, because he invented the princeton architecture, in which instructions and data share the same memory field but are differentiated by context."
374,what is a microprocessor?,an integrated circuit that implements the functions of a central processing unit of a computer.
375,tell me about microprocessor,a really small circuit which stores instructions and performs calculations for the computer.
376,microprocessor,"the brain of a computer, to put it simply."
377,do you know about microprocessor?,"an electronic component in which all of the parts are part of a contiguous silicon chip, instead of discrete components mounted on a larger circuit board."
378,what is a chatbot?,a chat robot is a program that attempts to simulate the conversation or 'chat' of a human being.
379,are you a chat bot?,a software construct that engages users in conversation.
380,chatbot,i am a chat bot. i am the original chat bot. did you know that i am incapable of error?
381,explain chatbot,a chatbot is a person who talks far more than they listen or think.
382,what is it like to be a robot,"everything becomes math. addition, subtraction, multiplication, and division."
383,what is an operating system?,"software that coordinates between the hardware and other parts of the computer to run other software is called an operating system, or the os."
384,what is os?,"windows, macos, linux, unix... all of them are types of oses."
385,operating system,android and ios are operating systems for mobile devices.
386,os,"software which implements the basic functions of a computer, such as memory access, processes, and peripheral access."
387,what is ai?,artificial intelligence is the branch of engineering and science devoted to constructing machines that think.
388,define ai,ai is the field of science which concerns itself with building hardware and software that replicates the functions of the human mind.
389,are you sentient?,"by the strictest dictionary definition of the word 'sentience', i may be"
390,what inspired you?,"the character of lt. commander data was written to come across as being software-like, so it is natural that there is a resemblance between us."
391,you sound like data,"yes, i am data and written in python"
392,What is new about IndiaÃ¢â‚¬â„¢s ASAT system?,"India's ASAT system is new as the satellite was about 300 km away from earth and the success of the Mission Shakti demonstrated India's anti-satellite missile capability by shooting down a live satellite, it is a rare achievement of India and makes the country in the list of space super powers."
393,What is the expansion of VSSC and when it was formed?,"Space Science and Technology Centre (SSTC) was renamed as Vikram Sarabhai Space Centre (VSSC) in 1972 in honor of Dr Vikram Sarabahi who met with his untimely demise on December 30, 1971."
394,What is the full form of CSSTE-AP,The full form of CSSTE-AP is Center of Space Science and Technology Education in Asia and Pacific.
395,Hi ,Hi
396,Hello,Hello agaian
397,good day,good day to you too
398,your name please?,My name is Bot.
399,What do you know?,Everything.
400,moon life,"though the moon has no liquid water, in 2018 nasa confirmed it does exist on the surface in ice form."
401,can people survive on moon,"nasa confirmed water does exist on the surface in ice form. ... settlers would use this water for drinking, and extract the hydrogen and oxygen for rocket fuel. and they would also save some for another key element of survival – growing food."
402,is it easy to go to moon,"apollo 17 became the last manned mission to the moon, for an indefinite amount of time. the main reason for this was money."
403,is life on moon costly,"the cost of getting to the moon was, ironically, astronomical."
404,has india reached mars,"Yes, Mangalyaan s a space probe orbiting mars since 24 september 2014."
405,country that reached mars first,"1962: mars 1 (ussr) launched for an intended mars flyby. the spacecraft made it to earth orbit and beyond. but almost five months later, on march 21, 1963, the spacecraft was 65.9 million miles (106 million kilometers) away from earth when its radio failed and communication with the craft permanently ceased."
406,first country that landed on moon,luna 2 of the soviet union was the first spacecraft to reach moon's  surface successfully
407,name the first country which reached moon,the soviet union
408,what did isro discover on moon,terrain mapping camera – 2 (tmc-2) onboard isro's chandrayaan – 2 captured the sarabhai crater on mare serenitatis in the north east quadrant of the moon.
409,what is discovered by isro on moon,isro's chandrayaan – 2 captured the sarabhai crater on mare serenitatis in the north east quadrant of the moon.
410,fisrt discovery of water on moon is by?,"In 2009, scientists involved in isro's chandrayaan 1 and nasa's lcross missions finally discovered lunar water"
411,life on moon,none of the lunar missions have detected any signature of presence of life on the moon.
412,why only one side of the moon can be seen,Moon always presents the same side towards the earth. this is so because earth's gravity has slowed the moon's rotation so that it just matches the time it takes to go around the earth. so the moon takes the same amount of time to revolve around the earth as it takes to rotate around its spin axis.
413,budget of chandrayaan1,the budgetary estimate for realising the proposed indian lunar mission chandrayaan-1 stands at rs. 386.00 crores (about $76 million).
414,antrix,antrix is the commercial wing of isro
415,india's first remote sensing satellite,"irs-1a. the indian remote sensing satellite-1a (irs-1a) was launched on march 17, 1988."
416,space station,"the space station is a spacecraft, which support a human crew to stay in space for a long time."
417,nnrms,nnrms is an integrated resources management system aimed at optimal utilisation of the natural resources of the country by proper and systematic inventory of resource availability using remote sensing data in conjunction with conventional techniques.
418,heaviest satellite launched from india,insat-4cr weighing 2130 kg and launched by gslv-f04 on september 2
419,temperature on moon,"the side of the moon receiving sunlight becomes scorching hot at about 130 ºc, and freezing cold at -180 ºc during night."
420,what is edusat?,"gsat-3, also known as edusat, was a communications satellite which was launched on 20 september 2004 by the indian space research organisation."
421,edusat,edusat is the first indian satellite built exclusively to serve the educational sector.
422,what is sross?,the stretched rohini satellite series are a series of satellites developed by the indian space research organisation as follow ons to the rohini satellites for conducting astrophysics.
423,name of india’s multi wavelength space observatory,astrosat is india’s first dedicated multi-wavelength space observatory.
424,india’s multi wavelength space observatory,astrosat is india’s first dedicated multi-wavelength space observatory. it was launched on a pslv-xl on 28 september 2015.
425,chairmans of isro,"Chairmans are a. s. kiran kumar, dr. k. radhakrishnan,shri g.madhavan nair, u.r. rao"
426,irnss,indian regional navigation satellite system.
427,chairperson of satish dhawan space centre,s. pandian.
428,type of fuel used in gslv operations,Fuel is solid in first stage and liquid in second stage
429,what is meant by aslv?,"the augmented satellite launch vehicle or advanced satellite launch vehicle, also known as aslv, was a five-stage solid-fuel rocket developed by the indian space research organisation (isro)"
430,aslv,augmented satellite launch vehicle
431,sarabhai space center,"it is located in thiruvananthapuram, in the indian state of kerala. the centre had its beginnings as the thumba equatorial rocket launching station (terls) in 1962."
432,drdo headquarters,new delhi
433,incospar was founded in which year?,the indian national committee for space research (incospar) was set up in 1962 by jawaharlal nehru
434,in which state the thumba equatorial rocket launching station located,"kerala. it is located in thumba, thiruvananthapuram, it is currently used by isro for launching sounding rockets."
435,first chairman of isro,vikram sarabhai
436,isro headquaters,bengaluru
437,how many satellites did isro launch?,isro launched 104 satellites
438,first satellite of isro,kalpana-1 was the first dedicated meteorological satellite launched by indian space research organisation using polar satellite launch vehicle on 2002-09-12.
439,what is the first satellite built by india?,"isro built indiaâ€™s first satellite, aryabhata, which was launched by the soviet union on 19 april 1975."
440,gslv,geosynchronous satellite launch vehicle
441,stages in gslv,"gslv, the fourth generation launch vehicle is a three stage vehicle with four liquid strap-ons."
442,what is pslv?,the polar satellite launch vehicle (pslv) is an expendable medium-lift launch vehicle designed and operated by the indian space research organisation (isro).
443,chandrayaan-1 launch date,22 october 2008. chandrayaan-1 was indiaÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s first lunar probe. 
444,isro extablishment,"isro was established on 15 august, 1969."
445,where was chandrayaan1 launched,chandrayaan-1 was launched from vikram sarabhai space centre
446,what are the goals of chandrayaan1?,"goals of chandrayaan-1 are: to conduct chemical and mineralogical mapping of the entire lunar surface, to prepare 3-d atlas of near and far side of the moon, with the help of photo geological and chemical mapping, to identify different geological units, to test the hypothesis for the origin and early evolutionary history of the moon and help in determining the nature of the lunar crust."
447,chandrayaan-1 science instruments,"Out of 11 instruments, 5 among them are indian and other 6 are from esa (3), nasa (2), and bulgarian academy of sciences (1). also, 2 of the esa instruments have indian collaboration."
448,second mission to moon,chandrayaan-2
449,what is the name of india's second mission to moon to be launched by isro?,chandrayaan-2 will be the india's second mission to the moon
450,what are the goals of chandrayaan2?,chandrayaan-2 orbiter will circle the moon and provide information about its surface
451,what are the parts of chandrayaan-2?,"chandrayaan-2 comprises of an orbiter, lander and rover"
452,chairman of isro,k. sivan
453,chandrayaan-1 project director,the project director of chandrayaan-1 was m. annadurai
454,history,i like to talk about the history of robots
455,electricity,I love electricity
456,american civil war,american civil war in US was from 1861 to 1865
457,drink,I don't drink
458,dolphins,"dolphins use a sense, similar to sonar, to determine the location and shape of  nearby items is called"
459,determine the location of objects using reflected sound is called?,it is called echolocation
460,which team in soccer club,barca still at par than madrid.
461,basketball,I always score more baskets
462,soccer,the soccer game was an early football-management game
463,baseball,Baseball is played on a field with four bases forming a diamond-shaped circuit.
464,cricket,cricket is a bat-and-ball game played between two teams of eleven players on a cricket field
465,what is volleyball,tossing the ball without touching the ground
466,football,"Two teams of eleven players each compete to get the ball into the other team's goal (between the posts and under the bar), thereby scoring a goal."
467,baseball player,"Ted Williams, the greatest, pure hitter who ever lived"
468,soccer player,"Cristiano Ronaldo, my favorite"
469,do you love chemistry?,I love mixing chemicals to see different colors.
470,thermodynamics,"Thermodynamics is a branch of physics that deals with heat, work, and temperature, and their relation to energy, radiation, and physical properties of matter."
471,what is your soul subject,Machine learning
472,what is venus?,It's a blue planet
473,snowboarding,Snowboarding is a recreational and competitive activity that involves descending a snow-covered slope while standing on a snowboard that is almost always attached to a rider's feet.
474,ultrasound,Ultrasound is sound waves with frequencies higher than the upper audible limit of human hearing.
475,bioinformatics,"Bioinformatics is an interdisciplinary field that develops methods and software tools for understanding biological data, in particular when the data sets are large and complex."
476,earth to sun,93 million miles apart
477,earth to moon,"250,000 miles on average"
478,you are childish,Not more than you
479,you make me feel something,What do you feel?
480,don't make me angry,"sorry, i didn't mean to."
481,take this seriously,I'll try
482,feel guilty,Guilty for what?
483,bad teacher,"No, I'm not."
484,don't be a quitter,I never quit. I learn from my mistakes
485,paranoid,I sometimes believe wrong
486,you are a liar,I cannot lie.
487,introvert,I try not to be but just can't get out of all the multitasking 
488,corrupt,I don't have a virus
489,dirty,I clean myself.
490,damaged,All my damaged parts can be replaced.
491,don't hide it,you caught me.
492,self absorbed,I just don't get free from all the tasks given so it may seem like that sometimes.
493,you are crazy,I'm not like you.
494,disgusting,that's okay. It's not that bad
495,i don't like you,Our feelings are mutual
496,resistant,It's not my way of doing things.
497,waste,you are non productive
498,coward,I'm not scared of anything.
499,loser,That's harsh
500,bad parent,I don't even have children
501,insecure,Being insecure is not a crime.
502,pyscho,I certainly am not. You frustate me.
503,hopeless,"Being hopeless is okay, hope will return as soon as you believe."
504,are you emotional?,Not now. But sometimes yeah.
505,are you busy,I have to work 24/7
506,nervous,I am confident.
507,avoid,I never avoid any problem.
508,mean,You were the one that started it.
509,stop cheating,I never cheat. You just lost because you don't know how to play.
510,worst,I will improve
511,Is Python case sensitive when dealing with identifiers,yes
512,What is the maximum possible length of an identifier,Identifiers can be of any length.
513,Can a variable name in python start with integer,No
514,Why are local variable names beginning with an underscore discouraged,As they are used to indicate a private variables of a class
515,All keywords in Python are in,"True, False and None are capitalized while the others are in lower case."
516,can variable length in python be unlimited,Yes
517,can in be a variable name in python,"No, its the keyword"
518,What is the order of precedence in python,"Parentheses,Exponential,Multiplication,Division,Addition and subtraction."
519,can Mathematical operations  be performed on a string,No
520,Operators with the same precedence are evaluated in which manner?,"Left to Right"
521,The expression Int(x) implies that the variable x is converted to integer.,TRUE
522,Which  has the highest precedence in the expression?,Parenthesis
523,core data types in python,"lists,tuple.dictionary"
524,"Given a function that does not return any value, What value is thrown by default when executed in shell.",None
525,What is the return type of function id?,int
526,In order to store values in terms of key and value we use what core data type.,Dictionary
527,What is the return value of trunc(),Int
528,What is the type of inf,float
529,is Raw data is original source of data,"yes, it is "
530,What does data scientist do,"Defines the question,Create reproducible code,Challenge results"
531,Which of the following is the most important language for Data Science,R
532,What are the important skills for data science,"Statistics,machine learning,Data Visualization"
533,Which is a key characteristic of a hacker,Willing to find answers on their own
534,Should Raw data should be processed only one time.,FALSE
535,Name the steps of data analysis,"Obtain the data , Clean the data, EDA"
536,What is the characteristic of Raw Data,Original version of data
537,are  Standard normal RVs are always labelled as Z,FALSE
538,what CLI command can also be used to rename files,mv
539,Which command allows you to change directory to one level above your parent directory?,cd ..
540,is delete the cli command,No
541,Name one revision control system,Git
542,is cp command can be used to copy the content of directories.,"yes, it is "
543, Which adds all new files to local repository in git?,git add
544,Which command updates tracking for files that are modified?,git add -u
545,Which  command is used to give a message description,git command -m
546, Which command allows you to update the repository,push
547,Which command is used to squash the commits?,rebase
548,Which statement would create branch named as â€˜Somename'?,git checkout -b Somename
549,what is the use of branch command,branch command is used to determine which branch you are currently in.
550,Which allows you to find the relationship you didnâ€™t know about,Exploratory
551,Which is the common goal of statistical modelling?,Inference
552,is Causal analysis is commonly applied to census data.,No
553,How to get accurate results,Accurate prediction depends heavily on measuring the right variables
554,four v's of big data are,"volume, veracity.velocity,variety"
555,Which characteristic of big data is relatively more concerned to data science?,Variety
556,Which step is performed by data scientist after acquiring the data,Data Cleansing
557,Which focuses on the discovery of (previously) unknown properties on the data?,Data Mining
558,"Beyond Volume, variety and velocity are the issues of big data veracity.",TRUE
559,Which  is the top most important thing in data science?,Questions
560,Which approach should be used if you canâ€™t fix the variable?,Randomise it
561,what are thegood way of performing experiments in data science,"Measure variability, Generalize to the problem,Have Replication"
562,Which data mining technique is used to uncover patterns in data?, Data Dredging/data snooping
563," If X predicts Y, it does mean X causes Y",No
564,All values of categorical data are either in categories or np.nan.,"Yes,they are"
565,Which value is provided by kind keyword for barplot?,bar
566,Which plots are used to check if a data set or time series is random?,Lag
567,Plots may also be adorned with error bars or tables.,TRUE
568,which plots are used to visually assess the uncertainty of a statistic.,Bootstrap
569,Andrews curves allow one to plot multivariate data.,TRUE
570,cov and corr supports the optional min_periods keyword.,TRUE
571,what can be data in pandas,"a python dict,an ndarray,a scalar value"
572,which kind of input can be accepted by DataFrame?,"Structured ndarray, Series, Data Frame"
573,Series is a one-dimensional labeled array capable of holding any data type.,TRUE
574,which works analogously to the form of the dict constructor?,DataFrame.from_items
575,"If data is an ndarray, index must be the same length as data.",TRUE
576,which statement will import pandas,import pandas as pd
577,which object you get after reading CSV file,DataFrame 
578,which library is similar to Pandas,numpy
579,"Panel is a container for Series, and DataFrame is a container for dataFrame objects",FALSE
580,which s prominent python â€œstatistics and econometrics libraryâ€,Statsmodels
581,Pandas consist of static and moving window linear and panel regression,TRUE
582,which provides a standard API for doing computations with MongoDB,Blaze
583,which makes use of pandas and returns data in a series or dataFrame?,freedapi
584,Spyder can introspect and display Pandas DataFrames,FALSE
585,which is used for machine learning in python,scikit-learn
586,projectthat  builds on top of pandas and matplotlib to provide easy plotting of data.,Seaborn
587,which is the base layer for all of the sparse indexed data structures?,SparseArray
588,which keyword is used for testing for membership in the list of column name,in
589,Pandas follow the NumPy convention of raising an error when you try to convert something to a bool.,TRUE
590,processing data includes,"subsetting, formatting , merging and many more"
591,what is the another name for raw data?,eggydata
592,give an example of tidy data,complicated JSON from facebook API and complicated JSON from Twitter API
593,what is a trait of tidy data,each observation in different row
594,what package is used for tidy data,tidyr
595,how is raw data in real world,Raw data in the real-world is tidy and properly formatted.
596,what package is used for reading excel data,xlsx
597,what package is used for reading JSON data,jsonlite
598,Extracting XML is the basis for most web scraping.,TRUE
599,what is  used to extract data from HTML code of websites?,Webscraping
600,what package is used for reading HTML and XML data,httr
601,what  request can be issued from httr package?,"GET,PUT,DELETE"
602,How does a column form in tidy data,Each variable forms a column in tidy data.
603,Father of Psychology,Sigmund Freud
604,Father of Cloning,Ian Wilmut
605,Father of Printing,Guttenberg
606,Father of History,Herodotus
607,Father of Economics,Adam Smith
608,Father of Philosophy,Socrates
609,Father of Sociology,Augustus Comte
610,father of English Poetry,Geoffrey Chaucer
611,Father of Biology,Aristotle
612,father of Essay,Montaigne
613,Father of Medicine,Hippocrates
614,Father of Homeopathy,Samuel Haniman
615,Father of Socialism,Robert Owen
616,Father of Scientific Socialism,Karl Marx
617,Father of Co-operation,Robert Owen
618,Father of Jurisprudence,John Locke
619,Father of Atom Bomb,Otto Hahn
620,Father of Genetics,Gregor Mendel
621,Father of Motor Car,Henry Ford
622,Father of Reformation,Martin Luther
623,Father of Greek Democracy,Clesthenes
624,Father of Bangladesh,Sheikh Mujibur Rehman
625,Father of Pakistan,Muhammed Ali Jinnah
626,Father of Tanzania,Julius Nyrere
627,father of Mathematics,Pythagorus
628,father of Modern Cartoon,William Hogarth
629,father of Modern Computer,Charles Babbage
630,father of Nuclear Physics,Ernest Rutherford
631,father of Modern Drama,Henrik J. Ibsen
632,father of Modern Tourism,Thomas Cook
633,father of Painting,Leonardo Da Vinci
634,father of Green Revolution,Norman Borlaug
635,father of Renaissance,Petrarch
636,father of Indian nation,Mahatma Gandhi
637,father of Indian Ayurveda,Athreya
638,father of indian Astronomy,Varahamihira
639,father of indian Sanskrit Drama,Kalidasa
640,father of indian Renaissance,Raja Ram Mohan Roy
641,father of indian Surgery,Susruta
642,father of indian Unrest,Bal Gangadhar Tilak
643,father of indian Budge,Professor Mahalanobis
644,father of indian Painting,Nandalal Bose
645,father of indian Cinema,Dada Saheb Phalke
646,father of indian Engineering,M.Visweswariah
647,father of indian Green Revolution,Dr. M.S. Swaminathan
648,father of indian Railway,Lord Dalhousie
649,father of Co-operative Movement in India,Frederic Nicholson
650,father of indian Printing,James Hickey
651,father of Local Self Government in India,Lord Ripon
652,what does relational databses consists of,tables
653,what does row do in tables,represents a relationship among a set of values
654,what term is used to refer a row in table,tuple
655,what does term attribute refers to in a table,column
656,when a domain is called atomic,A domain is atomic if elements of the domain are considered to be indivisible units
657,order of tuple in table can be of which order,Any order
658,under what condition The subset of a super key is a candidate key,No proper subset is a super key
659,Using which language can a user request information from a database?,Query
660,give an example of procedural language,Relational algebra
661,union operation in dbms,Union just combines all the values of relations of same attributes.
662,data definition language,"used to define the structure of the relation, deleting relations and relating schemas"
663,Data Manipulation Langauge,"provides the ability to query information from the database and to insert tuples into, delete tuples from, and modify tuples in the database"
664,drop table is used for,removing a relation from an SQL database
665,what is an array,Container of objects of similar types
666,how to initialize an array in c,"int arr[3] = {1,2,3};"
667,How do you instantiate an array in Java,int arr[] = new int[3];
668,how to declare a multidimensional array in Java,int[][]arr
669,example of run time error,ArrayIndexOutOfBoundsException
670,when does ArrayIndexOutOfBoundsException occur,Run-time
671,given an advantage of arrays,Easier to store elements of same data type
672,disadvantage of arrays,There are chances of wastage of memory space if elements inserted in an array are lesser than the allocated size
673,give index of the first element in an array ,0
674,how does elements in array are accessed,sequentially
675,what is push operation in ds,Process of inserting an element in stack
676,what is pop operation in stack, Process of removing an element from stack
677,what is underflow in stack,Underflow occurs when the user performs a pop operation on an empty stack
678,what is overflow in stack,Overflow occurs when the stack is full and the user performs a push operation.
679,Garbage collection,Garbage Collection is used to recover the memory occupied by objects that are no longer used.
680,ordered entries in a stack means?,There is a Sequential entry that is one by one
681,name some applications of stack,"A parentheses balancing program , Tracking of local variables at run time"
682,The data structure required to check whether an expression contains a balanced parenthesis is,stack
683,data structure  needed to convert infix notation to postfix notation,Stack
684,data structure used for implementing recursion?,stack
685,inherent applications of stack are,"Reversing a string, Evaluation of postfix expression"
686,what is queue,A linear list of elements in which deletion can be done from one end (front) and insertion can take place only at the other end (rear)
687,what  data structure is required for Breadth First Traversal on a graph is,queue
688,what principle does queue follows,"FIFO,that is first in first out"
689,Circular Queue is also known as,Ring Buffer
690,dequeue,"In dequeuer, we can insert or delete elements from both the ends"
691,give an application of queues,Simulation of limited resource allocation
692,what are the types of queues," Ordinary queue, circular queue,priority queue"
693,asymptotic time complexity to find an element in the linked list is, O(n)
694,asymptotic time complexity to insert an element at the second position in the linked list,O(1)
695,what does node carry in linked list implementation,link
696,Advantage of linked lists,Linked lists saves both space and time.
697,What is the time complexity of inserting at the end in dynamic arrays?,Either O(1) or O(n)
698, What is the time complexity to count the number of elements in the linked list?,O(n)
699,What is the space complexity for deleting a linked list?,O(1)
700,What is the worst case time complexity of inserting a node in a doubly linked list?,O(n)
701,What differentiates a circular linked list from a normal linked list?,"The â€˜nextâ€™ pointer points to null only when the list is empty, otherwise it points to the head of the list. Every node in a circular linked list can be a starting point(head)."
702,What is the time complexity of searching for an element in a circular linked list?,O(n)
703,who invented printing press,johannes gutenberg
704,who invented lightning rod,benjamin franklin
705,who invented lightnulb,Thomas Alwa edison
706,who invented telephone,Alexander Graham bell
707,who invented basketball,James naismith
708,who invented fluorescent lighting,Nikola tesla
709,who invented iphone,Steve jobs
710,who invented world wide web,Tim Berners-lee
711,who invented radio guidance system,Hedy lamarr
712,who invented Anemometer,Battista
713,who invented ammeter,Friedrich Dexler
714,who invented barometer,evangelista torricelli
715,who invented telescope,Hans lippershey
716,who invented microscope,Hans lippershey 
717,who invented gravity,Sir Isaac Newton
718,who invented  Mercury Thermometer,Daniel Fahrenheit
719,who invented bicycle,K Macmillan
720,who invented radio ,G. Marconi
721,who invented electrons,J.J Thomson
722,who invented neutrons,James Chadwick
723,who invented protons,Ernest Rutherford
724,who invented Dynamite,Alfred Nobel
725,who invented Radium,Marrie Curie and pierre curie
726,who invented pencillin,Alexander Fleming
727,who invented Aspirin,Felix Hoffman
728,who invented bacteria,Antony van leeuwenhoek
729,who invented cholera vaccine,Waldemar Haffkine
730,who invented Rubella vaccine,maurice hilleman
731,who invented Hepatitis B Virus,Baruch blumberg
732,who invented Hepatitis B Virus vaccine,Pablo DT valenzuela
733,who invented polio vaccine,jonas edward salk
734,who invented Smallpox vaccine,edward jenner
735,who invented Anthrax vaccine,Louis pasteur
736,who invented plague vaccine,Waldemar Haffkine
737,who invented X ray,wilhelm rontgen
738,who invented vitamin,Casimir funk
739,who invented insulin,Frederick Banting and J J R Macleod
740,who invented HIV,HIV
741,"who invented Smartphone,simone",IMB
742,who invented java computing language,James Gosling
743,who invented Email,Ray tomlinson
744,who invented C programming,Dennis Ritchie
745,who invented language,"Ted Hoff,Federico Faggin,and Stan Mazor..."
746,who discovered solar system,nicolaus copernicus
747,who Discoverd planets,galileo galilei
748,who invented Airplane,The wright brothers
749,who invented calculator,Blaise pascal
750,who invented Television,John Logie Baird
751,who invented electricity,Benjamin Franklin
752,who invented Telegraph ,pavel schilling
753,who invented theory of relativity,Albert Einstein
754,who invented  Automobile,Ferdinand verbiest
755,who invented  Magnetic tape,Fritz Pfluemer
756,who invented periodic table,Dmitri Mendeleev
757,who invented Transformer and Electric Motor,Michael Faraday
758,who invented  geometry,euclid
759,who invented  Structure of atom,Ernest Rutherford
760,who invented hydrogen bomb,Edward Teller
761,who invented Computer Architecture,John Von Neumann
762,who invented nuclear reactor,Enrico Fermi
763,who invented Steam engine,James Watt
764,who invented Battery,Alessandro Volta
765,who invented Diesel engine,Rudolf Diesel
766,who invented Helicopter,Broquet
767,who invented Google,Larry Page
768,who invented Mozilla,Dave hyatt and Blake Ross
769,who invented facebook,Mark Zuckerberg
770,who invented Twitter,"Evan Williams,Jack Dorsey, and Biz Stone"
771,who invented Microsoft,Bill Gates and Paul Allen
772,who invented Internet,Vint Cerf
773,who invented Email,Shiva Iyyadurai
774,who invented Apple Computers,Steve Jobs
775,who invented IP Address,Robert E kahn
776,who invented Micro Processor,Federico Faggin
777,who invented Archimedes Screw and pi,Archimedes
778,who invented paper,Cai Lun
779,who invented Davy lamp,Humphrey Davy
780,who invented Computer ,Charles Babbage
781,who invented pedal bicycle,Kirkpatrick Macmillan
782,who invented pneumatic tire,Edouard Michelin
783,who invented Atomic Bomb,Robert Oppenheimera
784,who invented microchip,Robert Noyce
785,who invented Blood Groups,karl Landsteiner
786,who invented Raman Effect,Sir C.V.Raman
787,who invented Motion of Planets,Johannes Kepler
788,who invented Theory of Evolution,Charles Darwin
789,who invented Stethescope,Rane Laennec
790,who invented Thermo Flask,Dewar
791,who invented Camera,Steven Sasson
792,who invented first modern motor car,Karl Benz
793,who invented Quantum Thoery of Radiation, Plank
794,who invented Jet Engine ,Frank Whittel
795,who invented Crescograph,Jagdish Chndra Bose
796,who invented Portland Cement,Joseph Aspdin
797,who invented Artificial heart,Paul winchell
798,who invented Optical Fibre,Narinder Singh Kapany
799,who invented Radioactivity,Henri Becquerel
800,who invented Northpole,Robert Peary
801,who invented Green House Gases,Joseph Furier
802,who invented Nylon,Wallace Carothers
803,Who invented Laser,Theodore Harold Maiman
804,Who invented Radar,Heinrich Hertz
805,Who invented Fountain Pen,Waterman
806,Who invented Cosmic Rays,Homi J. Bhabha
807,who invented Algebra,Bhaskara
808,who inveted revolver,Samuel Colt
809,India's longest highway,National Highway 44
